M-One,M-Two,M-Three,M-Four,Units,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Liver,,,,g,5536,4440,5541,9344,7242,9238,7439,2938,2437,7530,6331,8829,6828,9026,5423,9221,3120,1117,2314,6213,4311,5512,4556,3467,3224,2543,2345,6768,4564,3533,4534,4534,1343,5665,2344,5325,2345,2345,2353,2345,7689,5767,8678,4324
,Ox liver,,,g,6,8,10,7,7,7,6,6,6,5,5,5,5,4,3,2,3,2,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lambs liver,,,g,20,20,20,23,22,19,18,19,18,17,16,15,14,13,14,11,11,10,8,8,6,6,5,4,5,3,3,2,2,2,2,1,2,1,2,2,2,2,1,2,1,1,1,2
,Pigs liver,,,g,9,10,9,12,12,11,14,13,12,8,10,9,9,9,6,7,6,4,4,4,4,4,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
,All other liver,,,g,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1
All offal other than liver,,,,g,2496,2525,2496,2400,2349,2278,2208,2122,2099,1999,1913,1719,1565,1497,1393,1279,1150,1029,904,822,785,740,680,655,635,584,616,565,529,559,461,444,462,407,399,400,343,349,292,282,258,306,310,306
"Bacon and ham, uncooked",,,,g,291,272,282,276,287,315,316,325,320,350,462,510,688,735,825,917,992,1085,1295,1347,1388,1427,1392,1448,1422,1439,1484,1424,1435,1439,1499,1552,1532,1552,1537,1583,1545,1549,1604,1562,1586,1515,1490,1512
,"Bacon and ham joints, uncooked",,,g,27,26,26,28,29,30,30,30,28,30,25,25,29,27,28,27,22,22,18,20,20,20,21,23,30,24,24,18,20,20,20,20,18,17,18,22,22,23,23,22,20,19,17,20
,"Bacon and ham rashers, uncooked",,,g,89,86,86,93,90,91,87,85,81,81,74,77,73,69,68,65,62,61,58,55,56,54,55,48,44,43,46,49,49,50,50,48,48,47,45,46,48,46,45,43,42,41,42,42
"Bacon and ham, cooked",,,,g,630,642,656,695,705,724,707,734,728,730,722,712,721,737,727,721,698,691,714,728,732,751,759,752,752,735,779,812,820,836,820,821,804,795,787,787,805,794,793,766,760,742,745,775
Cooked poultry not purchased in cans,,,,g,3308,3246,3027,3170,3367,3372,3419,3455,3377,3392,3332,3372,3536,3485,3477,3461,3370,3393,3352,3326,3284,3296,3385,3367,3328,3268,3338,3163,3180,3133,3096,3290,3265,3202,3093,3007,2982,2986,2917,2898,2846,2871,2884,2873
,"Chicken and turkey, cooked",,,g,5,4,5,5,4,6,5,6,7,7,6,8,9,11,13,11,12,12,12,14,17,20,18,28,26,29,33,39,39,43,43,42,42,37,39,36,35,35,30,31,28,26,27,30
,Takeaway chicken,,,g,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,3,9,8,11,12,10,5,6,5,6,6,6,6,5,6,7,6,7,6,7,7,7,6
"Corned beef, canned or sliced",,,,g,2578,2508,2266,2445,2618,2575,2562,2602,2552,2517,2480,2547,2595,2533,2502,2472,2408,2368,2352,2317,2245,2227,2297,2235,2172,2137,2149,2006,1973,1943,1927,1998,1952,1921,1894,1864,1849,1836,1810,1783,1751,1778,1791,1756
Other cooked meat,,,,g,1437,1378,1107,1256,1371,1372,1313,1358,1339,1309,1293,1340,1290,1279,1240,1217,1199,1164,1147,1137,1084,1077,1111,1042,1012,972,1002,912,873,864,822,842,810,781,776,761,742,746,724,682,671,675,675,641
